measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,102,United States of America,3,Both,22,All ages,1029,Total cancers,1,Number,1982,463731.25805802847,476801.2582726918,440344.2073533462
1,Deaths,102,United States of America,3,Both,22,All ages,1029,Total cancers,2,Percent,1982,0.23470556807770704,0.2411352231189663,0.22295820510158953
1,Deaths,102,United States of America,3,Both,22,All ages,1029,Total cancers,3,Rate,1982,197.8169379890018,203.3922952181162,187.8405676697619
1,Deaths,102,United States of America,3,Both,27,Age-standardized,1029,Total cancers,3,Rate,1982,165.93683082971575,170.59689495849352,157.6751532545566
1,Deaths,102,United States of America,3,Both,22,All ages,1029,Total cancers,1,Number,1981,455225.239169033,467471.91810027306,433237.29060090263
1,Deaths,102,United States of America,3,Both,22,All ages,1029,Total cancers,2,Percent,1981,0.23021631888469363,0.23645970800466856,0.21897981678652467
1,Deaths,102,United States of America,3,Both,22,All ages,1029,Total cancers,3,Rate,1981,196.11400469429393,201.38995392284482,186.64145291623444
1,Deaths,102,United States of America,3,Both,27,Age-standardized,1029,Total cancers,3,Rate,1981,165.82620157796714,170.30411879415038,157.82293507014168
1,Deaths,102,United States of America,3,Both,22,All ages,1029,Total cancers,1,Number,1980,447553.9339245082,459258.66012871935,426215.21578553953
1,Deaths,102,United States of America,3,Both,22,All ages,1029,Total cancers,2,Percent,1980,0.22678938141543223,0.2326545671352195,0.21604464808922372
1,Deaths,102,United States of America,3,Both,22,All ages,1029,Total cancers,3,Rate,1980,194.7120137160359,199.80425095598662,185.4284291823821
1,Deaths,102,United States of America,3,Both,27,Age-standardized,1029,Total cancers,3,Rate,1980,166.07083857827058,170.4647131780462,158.15556277841267
1,Deaths,67,Japan,3,Both,22,All ages,1029,Total cancers,1,Number,1983,195704.61202280325,200214.11945985362,187476.65517390514
1,Deaths,67,Japan,3,Both,22,All ages,1029,Total cancers,2,Percent,1983,0.2662419339657598,0.2722474851906696,0.25523033822202856
1,Deaths,67,Japan,3,Both,22,All ages,1029,Total cancers,3,Rate,1983,160.58222468160918,164.28242739515304,153.83090900374268
1,Deaths,67,Japan,3,Both,27,Age-standardized,1029,Total cancers,3,Rate,1983,147.3863938232065,151.31264131377864,140.39058984122957
1,Deaths,190,Uganda,3,Both,22,All ages,1029,Total cancers,1,Number,1982,8279.318865061994,9805.579074702671,6811.022448247663
1,Deaths,190,Uganda,3,Both,22,All ages,1029,Total cancers,2,Percent,1982,0.035735630165862044,0.04102123021333696,0.03049542283594725
1,Deaths,190,Uganda,3,Both,22,All ages,1029,Total cancers,3,Rate,1982,59.324913966723614,70.26123096374847,48.803932709105766
1,Deaths,190,Uganda,3,Both,27,Age-standardized,1029,Total cancers,3,Rate,1982,141.81287124987648,167.44635823145376,116.76874516988809
1,Deaths,67,Japan,3,Both,22,All ages,1029,Total cancers,1,Number,1981,184165.17836897972,188267.408672825,176770.87452935416
1,Deaths,67,Japan,3,Both,22,All ages,1029,Total cancers,2,Percent,1981,0.2568293891814758,0.26253606382678796,0.24703871831981256
1,Deaths,67,Japan,3,Both,22,All ages,1029,Total cancers,3,Rate,1981,153.1031199301059,156.51345115424326,146.95596986849304
1,Deaths,67,Japan,3,Both,27,Age-standardized,1029,Total cancers,3,Rate,1981,147.854448834563,151.6589867025537,140.98270926695432
1,Deaths,102,United States of America,3,Both,22,All ages,1029,Total cancers,1,Number,1983,475364.5600920671,488769.41430955887,451144.0693171236
1,Deaths,102,United States of America,3,Both,22,All ages,1029,Total cancers,2,Percent,1983,0.23684721014638202,0.24347298494876796,0.22473208920369414
1,Deaths,102,United States of America,3,Both,22,All ages,1029,Total cancers,3,Rate,1983,200.81006192572164,206.47272555592247,190.5785077445563
1,Deaths,102,United States of America,3,Both,27,Age-standardized,1029,Total cancers,3,Rate,1983,167.05815592963515,171.74655405408336,158.74856732584138
1,Deaths,190,Uganda,3,Both,22,All ages,1029,Total cancers,1,Number,1980,7653.691144714148,9159.187926937306,6381.164316188131
1,Deaths,190,Uganda,3,Both,22,All ages,1029,Total cancers,2,Percent,1980,0.03441380885654019,0.03955304154472883,0.029601875085315036
