Entity,Code,Year,Median age - Sex: all - Age: all - Variant: estimates,Median age - Sex: all - Age: all - Variant: medium
Afghanistan,AFG,1950,18.395,
Afghanistan,AFG,1951,18.37,
Afghanistan,AFG,1952,18.333,
Afghanistan,AFG,1953,18.289,
Afghanistan,AFG,1954,18.239,
Afghanistan,AFG,1955,18.187,
Afghanistan,AFG,1956,18.136,
Afghanistan,AFG,1957,18.083,
Afghanistan,AFG,1958,18.02,
Afghanistan,AFG,1959,17.945,
Afghanistan,AFG,1960,17.864,
Afghanistan,AFG,1961,17.783,
Afghanistan,AFG,1962,17.707,
Afghanistan,AFG,1963,17.639,
Afghanistan,AFG,1964,17.579,
Afghanistan,AFG,1965,17.525,
Afghanistan,AFG,1966,17.462,
Afghanistan,AFG,1967,17.375,
Afghanistan,AFG,1968,17.257,
Afghanistan,AFG,1969,17.113,
Afghanistan,AFG,1970,16.974,
Afghanistan,AFG,1971,16.841,
Afghanistan,AFG,1972,16.713,
Afghanistan,AFG,1973,16.591,
Afghanistan,AFG,1974,16.474,
Afghanistan,AFG,1975,16.36,
Afghanistan,AFG,1976,16.251,
Afghanistan,AFG,1977,16.147,
Afghanistan,AFG,1978,16.042,
Afghanistan,AFG,1979,15.935,
Afghanistan,AFG,1980,15.825,
Afghanistan,AFG,1981,15.715,
Afghanistan,AFG,1982,15.605,
Afghanistan,AFG,1983,15.51,
Afghanistan,AFG,1984,15.415,
Afghanistan,AFG,1985,15.32,
Afghanistan,AFG,1986,15.239,
Afghanistan,AFG,1987,15.172,
Afghanistan,AFG,1988,15.113,
Afghanistan,AFG,1989,15.059,
Afghanistan,AFG,1990,15.002,
Afghanistan,AFG,1991,14.933,
Afghanistan,AFG,1992,14.85,
Afghanistan,AFG,1993,14.765,
Afghanistan,AFG,1994,14.667,
Afghanistan,AFG,1995,14.556,
Afghanistan,AFG,1996,14.442,
Afghanistan,AFG,1997,14.322,
Afghanistan,AFG,1998,14.198,
Afghanistan,AFG,1999,14.082,
Afghanistan,AFG,2000,13.989,
Afghanistan,AFG,2001,13.926,
Afghanistan,AFG,2002,13.896,
Afghanistan,AFG,2003,13.896,
Afghanistan,AFG,2004,13.924,
Afghanistan,AFG,2005,13.979,
Afghanistan,AFG,2006,14.06,
Afghanistan,AFG,2007,14.169,
Afghanistan,AFG,2008,14.302,
Afghanistan,AFG,2009,14.448,
Afghanistan,AFG,2010,14.608,
Afghanistan,AFG,2011,14.776,
Afghanistan,AFG,2012,14.947,
Afghanistan,AFG,2013,15.124,
Afghanistan,AFG,2014,15.305,
Afghanistan,AFG,2015,15.49,
Afghanistan,AFG,2016,15.681,
Afghanistan,AFG,2017,15.868,
Afghanistan,AFG,2018,16.051,
Afghanistan,AFG,2019,16.234,
Afghanistan,AFG,2020,16.411,
Afghanistan,AFG,2021,16.575,
Afghanistan,AFG,2022,16.752,
Afghanistan,AFG,2023,16.94,
Afghanistan,AFG,2024,,17.116
Afghanistan,AFG,2025,,17.278
Afghanistan,AFG,2026,,17.444
Afghanistan,AFG,2027,,17.613
Afghanistan,AFG,2028,,17.786
Afghanistan,AFG,2029,,17.974
Afghanistan,AFG,2030,,18.184
Afghanistan,AFG,2031,,18.402
Afghanistan,AFG,2032,,18.621
Afghanistan,AFG,2033,,18.843
Afghanistan,AFG,2034,,19.062
Afghanistan,AFG,2035,,19.276
Afghanistan,AFG,2036,,19.496
Afghanistan,AFG,2037,,19.723
Afghanistan,AFG,2038,,19.956
Afghanistan,AFG,2039,,20.2
Afghanistan,AFG,2040,,20.455
Afghanistan,AFG,2041,,20.71
Afghanistan,AFG,2042,,20.959
Afghanistan,AFG,2043,,21.208
Afghanistan,AFG,2044,,21.46
Afghanistan,AFG,2045,,21.714
Afghanistan,AFG,2046,,21.976
Afghanistan,AFG,2047,,22.241
Afghanistan,AFG,2048,,22.504
Afghanistan,AFG,2049,,22.771
Afghanistan,AFG,2050,,23.034
Afghanistan,AFG,2051,,23.29
Afghanistan,AFG,2052,,23.549
Afghanistan,AFG,2053,,23.812
Afghanistan,AFG,2054,,24.073
Afghanistan,AFG,2055,,24.332
Afghanistan,AFG,2056,,24.59
Afghanistan,AFG,2057,,24.847
Afghanistan,AFG,2058,,25.103
Afghanistan,AFG,2059,,25.356
Afghanistan,AFG,2060,,25.609
Afghanistan,AFG,2061,,25.863
Afghanistan,AFG,2062,,26.117
Afghanistan,AFG,2063,,26.37
Afghanistan,AFG,2064,,26.622
Afghanistan,AFG,2065,,26.872
Afghanistan,AFG,2066,,27.118
Afghanistan,AFG,2067,,27.364
Afghanistan,AFG,2068,,27.606
Afghanistan,AFG,2069,,27.847
Afghanistan,AFG,2070,,28.086
Afghanistan,AFG,2071,,28.325
Afghanistan,AFG,2072,,28.564
Afghanistan,AFG,2073,,28.799
Afghanistan,AFG,2074,,29.034
Afghanistan,AFG,2075,,29.274
Afghanistan,AFG,2076,,29.515
Afghanistan,AFG,2077,,29.751
Afghanistan,AFG,2078,,29.988
Afghanistan,AFG,2079,,30.22
Afghanistan,AFG,2080,,30.448
Afghanistan,AFG,2081,,30.684
Afghanistan,AFG,2082,,30.923
Afghanistan,AFG,2083,,31.16
Afghanistan,AFG,2084,,31.387
Afghanistan,AFG,2085,,31.609
Afghanistan,AFG,2086,,31.839
Afghanistan,AFG,2087,,32.065
Afghanistan,AFG,2088,,32.286
Afghanistan,AFG,2089,,32.509
Afghanistan,AFG,2090,,32.725
Afghanistan,AFG,2091,,32.94
Afghanistan,AFG,2092,,33.159
Afghanistan,AFG,2093,,33.375
Afghanistan,AFG,2094,,33.59
Afghanistan,AFG,2095,,33.805
Afghanistan,AFG,2096,,34.019
Afghanistan,AFG,2097,,34.227
Afghanistan,AFG,2098,,34.432
Afghanistan,AFG,2099,,34.633
Afghanistan,AFG,2100,,34.837
Africa (UN),,1950,18.107,
Africa (UN),,1951,18.104,
Africa (UN),,1952,18.087,
Africa (UN),,1953,18.052,
Africa (UN),,1954,18.001,
Africa (UN),,1955,17.938,
